Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
14.0,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31.0,PayPal,Weekly
15.0,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly
16.0,64.0,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8.0,PayPal,Monthly
17.0,25.0,,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Venmo,,Yes,Yes,44.0,Debit Card,Bi-Weekly
18.0,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly
19.0,52.0,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17.0,Cash,Weekly
20.0,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly
21.0,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50.0,Cash,Every 3 Months
22.0,31.0,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly
23.0,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32.0,Debit Card,Annually
24.0,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40.0,Credit Card,Weekly
25.0,18.0,Male,Jacket,Outerwear,,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly
26.0,18.0,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14.0,PayPal,Annually
27.0,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13.0,Credit Card,Annually
28.0,56.0,Male,Shorts,,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months
29.0,54.0,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months
30.0,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly
31.0,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16.0,Credit Card,Monthly
32.0,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Venmo,Monthly
33.0,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,,Venmo,Annually
34.0,54.0,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Cash,Quarterly
35.0,36.0,,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly
36.0,54.0,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly
37.0,35.0,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,,4.6,Yes,Cash,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly
38.0,35.0,Male,Jeans,Clothing,,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10.0,PayPal,Weekly
39.0,29.0,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months
40.0,70.0,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18.0,Credit Card,Monthly
41.0,69.0,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly
42.0,67.0,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,,Venmo,Annually
43.0,20.0,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15.0,PayPal,Annually
44.0,25.0,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly
45.0,39.0,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45.0,PayPal,Weekly
46.0,50.0,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually
47.0,57.0,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Cash,Quarterly
48.0,55.0,,Jewelry,Accessories,54.0,Montana,M,Charcoal,,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36.0,Cash,Weekly
49.0,42.0,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,,Debit Card,Store Pickup,Yes,Yes,38.0,Cash,Monthly
50.0,68.0,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly
51.0,49.0,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly
52.0,59.0,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,,PayPal,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly
53.0,42.0,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly
54.0,29.0,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly
55.0,47.0,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly
56.0,40.0,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually
57.0,41.0,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly
58.0,21.0,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly
59.0,69.0,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29.0,Venmo,Monthly
60.0,63.0,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,,4.0,Debit Card,Weekly
61.0,50.0,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,17.0,Cash,Weekly
62.0,55.0,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,,21.0,Credit Card,Every 3 Months
63.0,30.0,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,,Yes,31.0,Credit Card,Fortnightly
13220.850651464512,33.0,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly
65.0,65.0,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18.0,Debit Card,Fortnightly
66.0,65.0,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months
67.0,31.0,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months
68.0,45.0,,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly
69.0,57.0,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months
70.0,48.0,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5.0,Cash,Weekly
71.0,22.0,Male,Belt,Accessories,29.0,,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32.0,Debit Card,Every 3 Months
72.0,36.0,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34.0,Bank Transfer,Annually
73.0,18.0,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months
74.0,48.0,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly
75.0,49.0,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3.0,Cash,Monthly
76.0,64.0,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21.0,Credit Card,Annually
77.0,50.0,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,,Yes,Bank Transfer,Free Shipping,Yes,Yes,32.0,Venmo,Monthly
78.0,22.0,Male,Dress,Clothing,,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly
79.0,50.0,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,,Venmo,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly
80.0,38.0,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months
81.0,19.0,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months
82.0,67.0,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36.0,Credit Card,Every 3 Months
83.0,19.0,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months
84.0,36.0,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,,Yes,34.0,Bank Transfer,Weekly
85.0,52.0,,Coat,Outerwear,32.0,Arizona,S,Peach,,4.4,Yes,Cash,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months
86.0,53.0,Male,,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly
87.0,24.0,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly
88.0,52.0,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,,Yes,44.0,Debit Card,Fortnightly
89.0,33.0,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly
90.0,47.0,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15.0,Cash,Quarterly
91.0,25.0,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29.0,Credit Card,Monthly
92.0,44.0,Male,Scarf,Accessories,99.0,South Carolina,,Green,Winter,4.6,Yes,PayPal,Standard,Yes,,18.0,Credit Card,Every 3 Months
93.0,61.0,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months
94.0,37.0,Male,Sweater,,62.0,Florida,M,Purple,Fall,4.5,Yes,,Standard,Yes,Yes,46.0,Credit Card,Weekly
95.0,58.0,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly
96.0,37.0,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48.0,PayPal,Monthly
97.0,32.0,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43.0,Venmo,Every 3 Months
98.0,21.0,Male,Shoes,Footwear,92.0,Virginia,,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37.0,Cash,Annually
99.0,20.0,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually
100.0,26.0,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33.0,Debit Card,Quarterly
101.0,62.0,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,,Yes,Yes,31.0,Cash,Fortnightly
102.0,27.0,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly
103.0,51.0,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35.0,Credit Card,Quarterly
104.0,54.0,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,,Yes,Debit Card,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly
105.0,55.0,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,,2-Day Shipping,,Yes,1.0,PayPal,Monthly
106.0,69.0,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,,Bank Transfer,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually
107.0,64.0,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31.0,Credit Card,
108.0,28.0,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Cash,,Yes,Yes,46.0,PayPal,Fortnightly
109.0,70.0,Male,Socks,Clothing,79.0,,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly
,58.0,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly
111.0,56.0,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26.0,Venmo,Fortnightly
112.0,26.0,Male,Belt,,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9.0,Credit Card,Annually
113.0,37.0,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly
114.0,44.0,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20.0,PayPal,Quarterly
115.0,70.0,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9.0,Cash,Weekly
116.0,,Male,Skirt,Clothing,94.0,Wyoming,M,,Spring,3.8,Yes,Cash,Standard,Yes,,48.0,Debit Card,Every 3 Months
117.0,55.0,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12.0,Venmo,Annually
118.0,50.0,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29.0,Cash,Fortnightly
119.0,50.0,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,,Bank Transfer,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly
120.0,38.0,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44.0,Cash,Annually
121.0,64.0,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32.0,Bank Transfer,Annually
122.0,19.0,Male,Shorts,Clothing,,,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11.0,Cash,Fortnightly
123.0,40.0,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly
124.0,57.0,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46.0,Cash,Weekly
125.0,44.0,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50.0,PayPal,Annually
126.0,49.0,,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months
127.0,43.0,Male,Shorts,Clothing,,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months
128.0,24.0,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly
129.0,20.0,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Venmo,,Yes,Yes,,Credit Card,Fortnightly
130.0,24.0,Male,Dress,Clothing,67.0,Pennsylvania,,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly
131.0,44.0,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly
132.0,28.0,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46.0,Credit Card,Weekly
133.0,30.0,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly
134.0,52.0,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25.0,Venmo,Annually
135.0,43.0,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,,Credit Card,Store Pickup,Yes,Yes,25.0,Cash,Monthly
136.0,43.0,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,PayPal,,Yes,Yes,12.0,PayPal,Quarterly
137.0,39.0,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly
138.0,68.0,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,38.0,PayPal,Weekly
139.0,68.0,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly
140.0,49.0,,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30.0,Venmo,Annually
141.0,63.0,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,,Yes,Yes,50.0,Credit Card,Weekly
142.0,56.0,Male,Gloves,Accessories,46.0,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45.0,PayPal,Weekly
143.0,37.0,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33.0,Credit Card,Fortnightly
144.0,30.0,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25.0,PayPal,Quarterly
145.0,19.0,Male,Shoes,,43.0,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,,Cash,Monthly
146.0,24.0,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44.0,Debit Card,Quarterly
147.0,52.0,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,21.0,Venmo,Fortnightly
148.0,63.0,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly
149.0,37.0,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47.0,Debit Card,Annually
150.0,38.0,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.2,Yes,Venmo,Free Shipping,Yes,Yes,14.0,PayPal,Monthly
151.0,35.0,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months
152.0,28.0,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,,Next Day Air,Yes,Yes,3.0,Venmo,Annually
153.0,30.0,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,Yes,42.0,Venmo,Annually
154.0,69.0,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,,Debit Card,Standard,Yes,Yes,22.0,Debit Card,Annually
155.0,41.0,Male,Dress,Clothing,98.0,Oklahoma,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly
156.0,63.0,Male,Socks,Clothing,77.0,Maine,S,Olive,Spring,4.3,Yes,Cash,,Yes,Yes,21.0,Bank Transfer,Quarterly
157.0,35.0,Male,Shorts,Clothing,26.0,Missouri,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,40.0,Debit Card,Annually
158.0,36.0,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,1.0,Bank Transfer,Fortnightly
159.0,25.0,Male,Shirt,Clothing,73.0,Connecticut,XL,Teal,Fall,4.1,Yes,Bank Transfer,Standard,Yes,Yes,50.0,Bank Transfer,Monthly
160.0,58.0,Male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months
161.0,27.0,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,34.0,Venmo,Monthly
162.0,65.0,Male,Backpack,Accessories,49.0,North Dakota,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,Yes,29.0,Venmo,Fortnightly
163.0,54.0,Male,Sunglasses,Accessories,,California,M,Turquoise,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,Yes,31.0,PayPal,Bi-Weekly
164.0,54.0,Male,Skirt,Clothing,67.0,Virginia,M,Purple,Summer,3.4,Yes,PayPal,Standard,Yes,Yes,8.0,Debit Card,Weekly
165.0,59.0,Male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,Yes,5.0,Credit Card,Fortnightly
166.0,42.0,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,7.0,Cash,Monthly
